2;9
9;9
10;9
11;9
12;9
13;9
14;9
15;9
16;9
17;9
18;9
19;9
20;9
21;9
22;9
23;9
28;9
29;9
30;9
31;9
32;9
33;9
34;9
35;9
36;9
37;9
38;9
39;9
40;9
41;9
48;9
49;9
50;9
51;9
52;9
53;9
54;9
55;9
56;9
57;9
58;9
59;9
64;9
65;9
66;9
67;9
68;9
69;9
70;9
71;9
72;9
73;9
77;9
81;9
82;9
83;9
84;9
85;9
86;9
87;9
89;9
90;9
91;9
92;9
93;9
94;9
99;9
100;9
101;9
102;9
104;9
105;9
106;9
107;9
110;9
111;9
112;9
113;9
117;9
118;9
119;9
120;9
121;9
122;9
127;9
128;9
129;9
130;9
132;9
133;9
134;9
135;9
137;9
138;9
141;9
142;9
179;9
233;9
234;9
235;9
236;9
237;9
238;9
239;9
240;9
241;9
242;9
243;9
244;9
245;9
246;9
247;9
248;9
249;9
250;9
251;9
252;9
456;9
457;9
458;9
459;9
460;9
461;9
462;9
463;9
464;9
465;9
466;9
467;9
468;9
469;9
470;9
471;9
472;9
473;9
474;9
475;9
476;9
477;9
478;9
479;9
480;9
481;9
482;9
483;9
484;9
485;9
486;9
487;9
488;9
489;9
490;9
491;9
492;9
